       star68ij    281.686542     -3.058806   10   2   0.024   0.000   7.908   0.031   0.027   10   2   0.015   0.000  14.494   0.032   0.025
       star69ij    281.973250     -1.787556   13   9   0.020   0.008   8.896   0.015   0.019    3   9   0.013   0.006  16.514   0.058   0.064
       star70ij    282.124917     -2.197111   14   2   0.026   0.000   8.175   0.036   0.027    0   0   0.000   0.000   0.000   0.000   0.000
       star72ij    283.643208      1.884583   14   1   0.000   0.000  10.299   0.046   0.025    0   0   0.000   0.000   0.000   0.000   0.000
       star74ij    284.243792      1.581083    9   8   0.030   0.011   7.659   0.017   0.017   11   6   0.020   0.010  12.890   0.026   0.014
       star75ij    284.517958      2.261417   12   3   0.038   0.013   7.248   0.050   0.030    0   0   0.000   0.000   0.000   0.000   0.000
       star77ij    285.051208      3.207167   11   4   0.041   0.017   7.021   0.020   0.033    0   0   0.000   0.000   0.000   0.000   0.000
       star78ij    285.075417      3.428111   10   2   0.024   0.000   7.478   0.040   0.013    0   0   0.000   0.000   0.000   0.000   0.000
       star83ij    286.538833      5.978917   10   1   0.000   0.000   6.955   0.067   0.038    0   0   0.000   0.000   0.000   0.000   0.000
       star84ij    287.607083      8.314444    9   2   0.017   0.000   7.540   0.049   0.014    0   0   0.000   0.000   0.000   0.000   0.000
       star85ij    288.249667      9.800361   11   6   0.035   0.010   7.148   0.172   0.038    0   0   0.000   0.000   0.000   0.000   0.000
       star86ij    288.254500     10.033167   12   4   0.028   0.010   7.213   0.031   0.017    0   0   0.000   0.000   0.000   0.000   0.000
       star87ij    288.558875     10.467278   14   2   0.020   0.002   7.882   0.020   0.045    0   0   0.000   0.000   0.000   0.000   0.000
       star91ij    290.435958     13.622889   12   2   0.041   0.003   7.885   0.036   0.034    0   0   0.000   0.000   0.000   0.000   0.000
